"name","max_price","image _url"
"Black Laminate","918.35","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9idXR0ZXJmbHlfZ3NfYnV0dGVyZmx5X2JsYWNrX2xhbWluYXRlX2xpZ2h0LjI3NmJkZjJiYzBkZDMyYjE5ODI5ZDBlNGFmOTYxMGQ2MzBiNTA1MmQucG5n/auto/auto/85/notrim/f6c8eab9983c85eaa86f85dcdaf4d6e5.webp"
"Freehand","757.63","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9idXR0ZXJmbHlfYW1fbWFya2VkX3VwXzkwX2xpZ2h0LmNkMjQ2MWMyODFiMThiMTIwZjg1MzJkYjY3MTllMTgzYjczNzIyYWUucG5n/auto/auto/85/notrim/79d2795195c3bfe93e7d452ef4794f8a.webp"
"Lore","2420.92","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9idXR0ZXJmbHlfY3VfYnV0dGVyZmx5X2xvcmVfbGlnaHQuM2VmNjk2NDU1OGM5N2NlN2UxOGI2YjZiYWI5MDcyNDUzNDhmMWY1ZC5wbmc-/auto/auto/85/notrim/cf71dc7b36f322e7d6958f67880215f9.webp"
"Bright Water","698.65","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9idXR0ZXJmbHlfaHlfb2NlYW5fa25pZmVfOTBfbGlnaHQuMDRiMWY0YzdkZGQ4OTY3YzZkY2Q0MGM2NjFkYmY1MGI2ZWJkZDdmZi5wbmc-/auto/auto/85/notrim/4754a5a860d1cb4ea0903d649ae9db5c.webp"
"Tiger Tooth","1302.19","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9idXR0ZXJmbHlfYW5fdGlnZXJfb3JhbmdlX2xpZ2h0LmMyMjQ1Nzc2MGEwZmE4NmVhZTNmZGFjNGMxZDkxOTU4ZTJkYWJkYTYucG5n/auto/auto/85/notrim/347a0d5092492b4c1c1bc22d473a44dd.webp"
"Ultraviolet","1998.28","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9idXR0ZXJmbHlfc29fcHVycGxlX2xpZ2h0LjBjYWMxOTJiZjJmMzc2YmRlNzY1NjQ0YTgxZDQ1NzEyYmYyNjFlZDIucG5n/auto/auto/85/notrim/b0bc8828790f6b317fabaee6b36f1e1c.webp"
"Damascus Steel","925.00","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9idXR0ZXJmbHlfYXFfZGFtYXNjdXNfOTBfbGlnaHQuZDlkMTc0MDljY2FlYzgyNGVlMjE4NWI5NzUwMDVmNWFkYThlM2I0Yi5wbmc-/auto/auto/85/notrim/ecbbc3a36f342bbc004a15ff30cdd8c5.webp"
"Scorched","839.95","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9idXR0ZXJmbHlfc3BfZGFwcGxlX2xpZ2h0LjU0M2EzODUyNmZiZThhZGQwZmFhMjE4NDhhMjU2NzMyODBiZDZlNzQucG5n/auto/auto/85/notrim/388b8dc93175617310e9d38dcd1d3758.webp"
"Crimson Web","3851.69","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9idXR0ZXJmbHlfaHlfd2Vic19saWdodC5iNTM1NTQ3ODk1ZjY4NmE3MGRiZDcyYjFlMzk0NzFjMzYyNWU2YWEwLnBuZw--/auto/auto/85/notrim/87bbcffab2ee5c19fe82f03af40a360c.webp"
"Case Hardened","1321.72","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9idXR0ZXJmbHlfYXFfb2lsZWRfbGlnaHQuNjQwYjgyODI1Yzg5Y2M0Zjk2ZDVmOTRhYTZjOTdmZDY2NmY5NDAyMS5wbmc-/auto/auto/85/notrim/7b02d806bc46a7c48554f497c95f6fbe.webp"
"Safari Mesh","742.07","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9idXR0ZXJmbHlfc3BfbWVzaF90YW5fbGlnaHQuY2U5ODQ3YzgxODQ0ZWIxODA1ZmM1NzcwMTQ1Y2RiNjczODljMjk2Yi5wbmc-/auto/auto/85/notrim/791fa77be627fb72aa8b3ef8f67ba6c8.webp"
"Night","1426.55","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9idXR0ZXJmbHlfc29fbmlnaHRfbGlnaHQuOGRhOWU1OGY1MjU4MGYxZTNkYmI2YmJlN2ZhZjFjMzdlMmQyMjRhZi5wbmc-/auto/auto/85/notrim/3b85078e442380a7a6285fb3a5384cf3.webp"
"Urban Masked","839.95","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9idXR0ZXJmbHlfc3BfdGFwZV91cmJhbl9saWdodC5hNTY1NDI0NjI2Y2YwMjUzM2Q2ZWE0NDYzYzMxMmE5NjA2MDYxNDUxLnBuZw--/auto/auto/85/notrim/88c2e5d153968c1bbeec2aa281fd554e.webp"
"Autotronic","1743.57","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9idXR0ZXJmbHlfZ3NfYnV0dGVyZmx5X2F1dG90cm9uaWNfbGlnaHQuNzY3NmY2YWU0ZDZjODZkMWE2M2M1MjVjOTc2MjEwYmQwNTNmNGQ3Ny5wbmc-/auto/auto/85/notrim/5b237ec6bf3c4ebe8636e2b9892b575e.webp"
"Blue Steel","1280.86","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9idXR0ZXJmbHlfYXFfYmx1ZWRfbGlnaHQuMmM4MTcxNDcwNmM4MGQ5NWY2NmJmZDAwOTY2NDYxMTk3NTE2YjE0Yi5wbmc-/auto/auto/85/notrim/b23c6a9c0aa24d9ff7dcdb297863ca76.webp"
"Stained","898.29","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9idXR0ZXJmbHlfYXFfZm9yY2VkX2xpZ2h0LjgzM2JmMjNlMTRjODU1NjRkOGU5N2FkZTNkNDYxYjcxZGNhN2JlMWIucG5n/auto/auto/85/notrim/a18a401a44463752314be247628064e9.webp"
"Rust Coat","613.75","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9idXR0ZXJmbHlfYXFfc3RlZWxfa25pZmVfbGlnaHQuZThkNTAwNDE0Y2NmMmY0ZTczNDY3MjM4YTI5MmVmYWE2ZGNiNzE3Zi5wbmc-/auto/auto/85/notrim/d52e3fd590a600df3979eb75878c0b1f.webp"
