"name","max_price","image _url"
"Doppler","369.75","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2FtX2RvcHBsZXJfcGhhc2UxX2xpZ2h0LjJjODI5MmM3ZjQ2Y2M1YTUwMmJhNGE3NzNiYmJlMWRhMGJjZWNlMTUucG5n/auto/auto/85/notrim/79f6168b52ca36b0c574ac724732369e.webp"
"Marble Fade","324.89","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2FtX21hcmJsZV9mYWRlX2xpZ2h0LjQ2YzhmOTJiNWM1Nzc5Y2E3MjRhMmY3ODIzOTliM2M2ZWM3ODM0OWYucG5n/auto/auto/85/notrim/298267f4f0147b30dde1f2d9700b842f.webp"
"Gamma Doppler","467.41","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2FtX2dhbW1hX2RvcHBsZXJfcGhhc2UxX2xpZ2h0LjBhOWIwYmZiNjYzNjRmNDBlNWMxNTcyZDJmZTk5ZDhjMDdmZmNlZGYucG5n/auto/auto/85/notrim/a4955c3acab31f427cd2d08a7d96f700.webp"
"Rust Coat","108.05","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2FxX3N0ZWVsX2tuaWZlX2xpZ2h0LjdjNWRhODRhZWEwNzkxYjZhMzg1NjVmOWM5ZTE2MmVlYTdhMjQ5YWEucG5n/auto/auto/85/notrim/25554b732ce2c536a26ec0ccd55fd608.webp"
"Lore","300.98","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2N1X2ZsaXBfbG9yZV9saWdodC5kMjg5OTJlYzIyN2VhZGYwZTU4MWQyMmUyMGJhYjA4MmQzNDExNTRmLnBuZw--/auto/auto/85/notrim/ee8bc0cb8348c4385dfb91bd6ca189fa.webp"
"Freehand","135.00","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2FtX21hcmtlZF91cF9saWdodC43M2VmOTBmYjEyNWY4Mzk5YWRkMWQ3NjdkYWEzOGQwN2I1ZTdiNDBiLnBuZw--/auto/auto/85/notrim/ad723da4bb0b9d96cd217d555ceefa26.webp"
"Scorched","240.00","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX3NwX2RhcHBsZV9saWdodC4wYzcwMzVhNDdjMjU4MDY4MDc0MWJhZDcwYzFhNTc4YTkzZDNlNzk2LnBuZw--/auto/auto/85/notrim/468e742b3d6764eb62bb5f9587f4f975.webp"
"Damascus Steel","138.93","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2FxX2RhbWFzY3VzX2xpZ2h0LjliNzUwMDE4NjUyYzA5YmUzOWRkYTFlYjVmZTdlNjBkZDk5MDRiYjMucG5n/auto/auto/85/notrim/ba7010bfbd497ca3157a183bbb788b9f.webp"
"Crimson Web","1258.37","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2h5X3dlYnNfbGlnaHQuYzg0MmUzMDllMWFlYWNhOTBlMjMzMGFkMGQ1MDYxNjNiODRiOTAzZi5wbmc-/auto/auto/85/notrim/201bc5222cc652f1af860d7776a7aca4.webp"
"Tiger Tooth","285.46","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2FuX3RpZ2VyX29yYW5nZV9saWdodC42OWU5ZDM3ZDdlYzYxODM3NTIxZmEwMGQyNDc1MTkzMThiN2YwOGIxLnBuZw--/auto/auto/85/notrim/8918f9b356869466ce9750494f074152.webp"
"Ultraviolet","346.47","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX3NvX3B1cnBsZV9saWdodC5kYzM5M2Y3YmE4NWVjZDc0M2RhNjQ1NTVkZTQ3OTM1MDU3NTU1MjEyLnBuZw--/auto/auto/85/notrim/9ac21bdab43b6598a86942e43f197e96.webp"
"Bright Water","138.30","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2h5X29jZWFuX2tuaWZlX2xpZ2h0LjUyNjk3YjQ5Y2IyNjIxYWJjZTRhZmYwZjA2ZjVkZDZjMmMzODlmNGEucG5n/auto/auto/85/notrim/61cbdfbab38326d4e1f1a74b72dd1b54.webp"
"Night","471.91","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX3NvX25pZ2h0X2xpZ2h0Ljg2YzNjNDQwMTM2Y2I3Y2Y1Yjc0YzFmMTI4NjU0NWQ1MzA1ZGQwNjkucG5n/auto/auto/85/notrim/c9873b828ba8ffa87e5c66cb7d7744f7.webp"
"Autotronic","345.29","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2dzX2ZsaXBfYXV0b3Ryb25pY19saWdodC45MjI0ZWE3ODBmNjJkNTZkN2IzNzM2MjFlMjg1N2U1NjkxOTJkN2VmLnBuZw--/auto/auto/85/notrim/74149562ca2d917b85f8ba5569d80fa3.webp"
"Urban Masked","285.20","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX3NwX3RhcGVfdXJiYW5fbGlnaHQuYzU2YjEwZmQxN2ZjN2NmZDIyNGZmNWM1MzIzMDIzOWMzODlkOGJhNS5wbmc-/auto/auto/85/notrim/fd6c7b619e68d25df7a4224bb9662153.webp"
"Blue Steel","248.58","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2FxX2JsdWVkX2xpZ2h0LjQ3ZWM3OWUyYjk0YjExYmYzYzdlMmY5NWMzYWNiZTI2NWMzNWE2MTkucG5n/auto/auto/85/notrim/ce499d6fe5afd75f6a9f9cba7318ab1b.webp"
"Boreal Forest","256.05","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2h5X2ZvcmVzdF9ib3JlYWxfbGlnaHQuYTk5YzU2OTY1ZGI5OTQwYTNiMzc2YTUwYTM5ZjFiZGYxOTliMjRiYi5wbmc-/auto/auto/85/notrim/9c689c93597483b83118fbbe646f7130.webp"
"Fade","374.68","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2FhX2ZhZGVfbGlnaHQuNzVlNDdiNjg0Mjk0NGExMmY4OTI4ODdhMTMxZWY1ODRhMTMwMjc2ZC5wbmc-/auto/auto/85/notrim/76b1446b6c8193f607078f39e778a0ac.webp"
"Stained","154.15","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2FxX2ZvcmNlZF9saWdodC4xNDQ2NTMyZjZjMTNmZjU1NmYwMTdlMjYwMzQ0MGJkZTBmMGNkNTI1LnBuZw--/auto/auto/85/notrim/fa8cca409a46d7c02c818b667137adf8.webp"
"Slaughter","283.33","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2FtX3plYnJhX2xpZ2h0LmFlY2Y0NTRhYzQxYjAzNDNhOWIwMTlhYzIzYzEzYjAxOTg5ZGUwOTYucG5n/auto/auto/85/notrim/7db17ef09e35d0bb222d680a83477bae.webp"
