"name","max_price","image _url"
"Gamma Doppler","278.98","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV90YWN0aWNhbF9hbV9nYW1tYV9kb3BwbGVyX3BoYXNlMV9saWdodC4xNzVhN2JmNzRiOTUyYmVhODU4ZTcyODQyMzY1M2FlY2QyYTc4ZjkyLnBuZw--/auto/auto/85/notrim/80f0863c7964f75065263c265905e8ce.webp"
"Lore","156.21","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV90YWN0aWNhbF9jdV9odW50c21hbl9sb3JlX2xpZ2h0LmRjZjQ1MDA5N2FiOGQzYTY0NWNhOTg0YmUyNTJkMWMzOTJlM2FhN2QucG5n/auto/auto/85/notrim/4c60d04f1cb8424587b6103f73c467d7.webp"
"Bright Water","82.38","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV90YWN0aWNhbF9oeV9vY2Vhbl9rbmlmZV85MF9saWdodC5kYmMyOGZhZWE3NDBiMjU1OWE3YzVmZmQ3MDhmN2I4YjQzYmZhMzVmLnBuZw--/auto/auto/85/notrim/b7aa1936055335767a6d9ed54b5b9e40.webp"
"Freehand","89.77","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV90YWN0aWNhbF9hbV9tYXJrZWRfdXBfOTBfbGlnaHQuM2E0ZWQ3NmJkNzhhOTc4MDllYzk0Y2Y3NTVhNTcxYTk4YjRiYmE5Yy5wbmc-/auto/auto/85/notrim/eacb02b2907bf4429577d1d7479df4f9.webp"
"Autotronic","202.45","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV90YWN0aWNhbF9nc19odW50c21hbl9hdXRvdHJvbmljX2xpZ2h0LjdmMWRlODFjMDcwMDMwMWJhZjNiMWMxNzQ4YjY2ZWRjZTU0OWJhNWMucG5n/auto/auto/85/notrim/5a9f59e154dc28ced4b8651dba8fba1a.webp"
"Black Laminate","133.10","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV90YWN0aWNhbF9nc19odW50c21hbl9ibGFja19sYW1pbmF0ZV9saWdodC45MGVjMDA2MDFmYTFmMzIwMDQzY2Y2YWVkMjU0N2IzODA1OWIxYmY1LnBuZw--/auto/auto/85/notrim/6cec23c9b9330d775797223fad19c1de.webp"
"Doppler","445.46","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV90YWN0aWNhbF9hbV9kb3BwbGVyX3BoYXNlMV9saWdodC4yYzJiNTE2YTRiODRjNjkxMzE2NmEzOGVlOTFhY2RhMTVhMmMyY2Q0LnBuZw--/auto/auto/85/notrim/04a42c3b936c097b4569f82828a84de8.webp"
"Marble Fade","228.17","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV90YWN0aWNhbF9hbV9tYXJibGVfZmFkZV9saWdodC4zN2M3ZDdkMjE4NmUxMmEyZjIzMjEwM2ZmMmE0OTE3NzAwYWE0NzY5LnBuZw--/auto/auto/85/notrim/b22e01bae04f781c6b97019e52f563f1.webp"
"Tiger Tooth","175.81","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV90YWN0aWNhbF9hbl90aWdlcl9vcmFuZ2VfbGlnaHQuYWU3Yjk0ZTUzMGFjYTU1NjY4NzMyYWFhYzM1MDg0MDFlZWMzMWNlYS5wbmc-/auto/auto/85/notrim/a32bc40746d07cdeaa8fffed63c6f959.webp"
"Rust Coat","70.92","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV90YWN0aWNhbF9hcV9zdGVlbF9rbmlmZV9saWdodC40MjMzMzg3YWFiODI4NmJlNGFjOWMzMjE1YjA0NGFkNzg5OTAxODk5LnBuZw--/auto/auto/85/notrim/6f11ff39b47b834d9ecc45827082b78a.webp"
