"name","max_price","image _url"
"Damascus Steel","725.00","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9rYXJhbWJpdF9hcV9kYW1hc2N1c19saWdodC40YjdmNjJjYTlmYTUxYzFkY2I3ZTAxYjNlZDU2NmYwOGMxZjNkZDU1LnBuZw--/auto/auto/85/notrim/aa4db2893ef9324ab0f6b0c8fd289b2a.webp"
"Autotronic","2,038.26","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9rYXJhbWJpdF9nc19rYXJhbV9hdXRvdHJvbmljX2xpZ2h0LjJiYzgxMTBmOTZjZjJmODc0YWZjYThjYWUyODFhOGNkM2NkMWVjOTUucG5n/auto/auto/85/notrim/96466ee4f9625d5f2a5406582101bd36.webp"
"Black Laminate","1,015.99","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9rYXJhbWJpdF9jdV9rYXJhbV9zdG9uZXdhc2hfbGlnaHQuOTBmMDhjYzQ2MjU5MGYzMmM4ODFjNDI4YTFjZmJjNzYzMTBlY2Q2NC5wbmc-/auto/auto/85/notrim/7e8921a2657b06c166f0fb9ae6eba5b9.webp"
"Urban Masked","1,000.00","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9rYXJhbWJpdF9zcF90YXBlX3VyYmFuX2xpZ2h0LmY3MmUxY2NhYjkyNDcxZDRhZmVlYThkYWEwMmM1MTlhZWM3YzgwZmQucG5n/auto/auto/85/notrim/13dc2d6d4cab5c81b958218e29084409.webp"
"Marble Fade","1,210.17","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9rYXJhbWJpdF9hbV9tYXJibGVfZmFkZV9saWdodC40ZWJjMjI5YzBjOTNmMGMxYjUxZDQzOGEyOGY3MzZkN2VmYmZkYWI4LnBuZw--/auto/auto/85/notrim/2d17b5f918b463169a05c168dfa9dd2c.webp"
"Bright Water","590.00","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9rYXJhbWJpdF9oeV9vY2Vhbl9rbmlmZV9saWdodC4yMzQ5MDEzNWU0YjY1YWRjMThiMjhlZjRmMGQxZmRmYWI0M2QzZTkzLnBuZw--/auto/auto/85/notrim/e17e56c4821e3a469ad5a40ced0cf8f6.webp"
"Tiger Tooth","998.58","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9rYXJhbWJpdF9hbl90aWdlcl9vcmFuZ2VfbGlnaHQuMTI5OGRiNWQwYjkwNzU4MGE0ZmRjMmY4ZGQzOWUxZjNhNjAwOTYzZC5wbmc-/auto/auto/85/notrim/e9129d1eabd9953f1c591c75200f52b9.webp"
"Rust Coat","539.24","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9rYXJhbWJpdF9hcV9zdGVlbF9rbmlmZV9saWdodC41OTVjYTFkODg3YTlkOWZhMDgwN2Q5ZDVjMDUxODQ5Mjc3NmFiNzgxLnBuZw--/auto/auto/85/notrim/b8f757904b0eea7cb07693dacb80d256.webp"
"Forest DDPAT","770.27","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9rYXJhbWJpdF9oeV9kZHBhdF9saWdodC5kOTE2MTk0OWU4OGE1ZTFjNDBlYWRjZTJmZDJkY2M3ZDhkZTllMDg3LnBuZw--/auto/auto/85/notrim/72c6a34065edd58116437ad3eb963a3f.webp"
"Case Hardened","1,931.28","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9rYXJhbWJpdF9hcV9vaWxlZF9saWdodC41YmFjOTAzNjhhZTI0OGE1MzMyYTE0NmQ3NjA2YmE4ZWQ3YWIzNzkyLnBuZw--/auto/auto/85/notrim/f591a8e1f952b73eeb17442d8547bf90.webp"
