"name","max_price","image _url"
"Nightwish","145.60","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2N1X2FrNDdfbmlnaHR3aXNoX2xpZ2h0LjA4YTY1NjE1ZDdjZGYyZjhkNGQ2NTBmOTk5OWZjOTQxNjlmZjg3MjgucG5n/auto/auto/85/notrim/5c08a9a697a566343389a078253f7fe3.webp"
"Legion of Anubis","57.41","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2N1X2FrNDdfYW51YmlzX2xpZ2h0LjljYmM4OGFlOGQwYWI2NjY2YzA4NTY4YTc3NmE1YzFjODQ4YjdlYzYucG5n/auto/auto/85/notrim/725301d64d2a92b3f0f82c94036b8e50.webp"
"Inheritance","176.48","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2FrX3BvcmNlbGFpbl9saWdodC5kYzRmNzZmYzM2NTE3NWU0YWM0MmQxNGVhODQ3MmQ3NmNmM2ZhNjYzLnBuZw--/auto/auto/85/notrim/66286698568f34224b86256f3790dbad.webp"
"Head Shot","134.92","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2N1X2FrX2hlYWRfc2hvdF9ob2xvX2xpZ2h0LmEzYTY4YWRiMjAxNjcxNGM2MjZiNjUzMzM1NGM0ZDg1YTgyMGNkYmEucG5n/auto/auto/85/notrim/37b8db9354aed5cd03a41c016dc28249.webp"
"Ice Coaled","17.02","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2N1X2FrNDdfY29ndGhpbmdzX2xpZ2h0LmVjMGVkODkzYzJkMGFlMmY5MTdlZjc1ZTBjYjc3MmM1MGMxZmQwMzIucG5n/auto/auto/85/notrim/9a238d8558503981eec09d473aa87da1.webp"
"Slate","16.33","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2dzX2FrNDdfcHJvZmVzc2lvbmFsX2xpZ2h0LjI5NmJhOGIxNTEwZGE0OWFlZjU1MWY2ZTNlOGVkODBlMjE3ZGE3NDYucG5n/auto/auto/85/notrim/187f28c57969731ba970cf4105fafe5b.webp"
"Asiimov","641.89","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2N1X2FrNDdfYXNpaW1vdl9saWdodC4xZWMwMjRhOWVkMjE0NzE4MjUzOTA3NjM4MzFmZGNkNDE3NTA1Y2MwLnBuZw--/auto/auto/85/notrim/500cc78c57df4c739bccf978b38d8d83.webp"
"Neon Revolution","446.73","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2N1X2FrNDdfYW5hcmNoeV9saWdodC5kMjFhNGYxNDQ3YTBjMGM3ODQ4YmY4ZTM5OGQ1MGUwOTcwYzBkZTdmLnBuZw--/auto/auto/85/notrim/999cc0ccae568cc864a8a0eed0fcbedf.webp"
"Searing Rage","42.47","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2FrNDdfZXhwbG9zaXZlX2xpZ2h0LjY0MWUyYzA2ZThlOGY1YmEzZDE5OTg2YTczN2FjODcwMGI3NjYxMTgucG5n/auto/auto/85/notrim/a4c0031808d3fc0b445b309c26ae96bb.webp"
"The Empress","333.46","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2dzX2FrNDdfZW1wcmVzc19saWdodC5kOWVjNzE5M2Y2MmM3ZjIxZTI3MmViMWJhYjFiYjE5ODdmOTlhYmM0LnBuZw--/auto/auto/85/notrim/0e33eda6786bc1b4cfdaf3ad9608c792.webp"
"Frontside Misty","187.54","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2N1X2FrNDdfd2ludGVyX3Nwb3J0X2xpZ2h0LmJjOTM2ZTNhMDIyNWQwNzViNThiY2VlMTJiZmQyMmViZTJhNjNiZmUucG5n/auto/auto/85/notrim/bdbfc7f6137f2e8bc41dffcb70622491.webp"
"Redline","209.98","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2N1X2FrNDdfY29icmFfbGlnaHQuZjQ1OGMxMDVhYjc1ZmM3NGU4ZGVjMTlhZDU4YmJlZTkwNzJhMTE1YS5wbmc-/auto/auto/85/notrim/990225506f8330a8a6e578f385905ecc.webp"
"The Oligarch","540.63","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2FrNDdfcHVmZmVyX2N1c3RvbV9saWdodC5jNTdlMGY1ZTY4ZjRiYzEyMzBiZjYwZGRhYzM3ZDYyNWVjN2JiZjFmLnBuZw--/auto/auto/85/notrim/3d3f6390b56a2636a717f709141ca71e.webp"
"Phantom Disruptor","37.04","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2N1X2FrLTQ3X3BoYW50b21fZGlzcnVwdG9yX2xpZ2h0LmRjZGM5ZjZhM2QxNjgxZWFhMjcxOTA2NjJjZTVjNTVmYTVjOTE3NGUucG5n/auto/auto/85/notrim/3ddc7e9c189a7659e95ab439eae7a564.webp"
"Aquamarine Revenge","283.17","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2N1X2FrNDdfY291cmFnZV9hbHRfbGlnaHQuZTkyZjcxZTJkNDFmODI3MDRkOTI1NmMwNDc1OTI5NTI0ODAyYTJkMC5wbmc-/auto/auto/85/notrim/624a27c869e036c66218de830fffcab5.webp"
"Bloodsport","221.71","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2dzX2FrNDdfYmxvb2RzcG9ydF9saWdodC4zNTY1ZDQ0YTFlZGVhZmIyZjgwNmQxNjExMGM3NTc2ZjE3MDZhN2UzLnBuZw--/auto/auto/85/notrim/55e152bc49c1936ae69ec4a0363267ac.webp"
"Nouveau Rouge","229.50","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2h5ZV9hazQ3X25vdXZlYXVfbGlnaHQuZTVlM2RiMzMxNWNhNWQwNmVjNzcxZDUxMTQ5ZWE3Mjc2ZWM4NGNiOS5wbmc-/auto/auto/85/notrim/faf430c57ffa3777b7c81e9a36ae6aef.webp"
"Neon Rider","313.17","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2N1X2FrX25lb25fcmlkZXJfbGlnaHQuMjM0NmY2MGRjODYzZGZmMTJjZWQyYzZiMjk2YWRkNzQwMjQzNjkzMC5wbmc-/auto/auto/85/notrim/e2135140b56e998bfa0cb6efb09ea3c3.webp"
"Midnight Laminate","38.80","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X3NvZV9pcmlkZXNjZW50X3B1cnBsZV9saWdodC4wMmVmNzg5ZjY1NzIwNjI1ZDY3Njg5NjU1MmQwYjMxODMzNmRlNjZmLnBuZw--/auto/auto/85/notrim/b71cc07c4c52cd49945650708ea88a57.webp"
"B the Monster","1,311.00","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2N1X292ZXJwYXNzX21vbnN0ZXJfYWs0N19saWdodC41NjE3NTdlNTExMjMyNmEwMjYxZWU5MmY1MDE1OWM3OThjYjZhZmU3LnBuZw--/auto/auto/85/notrim/6efbbef2dcf1dda00706cd84c5fccf8e.webp"
"Leet Museo","1,020.00","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2dzX2FrNDdfYWJzdHJhY3RfbGlnaHQuMDcxZmVmMGQzMTY0ODc0Y2FiOTJmMzA4YTQ1Y2UzN2VmZGMwNzgwNi5wbmc-/auto/auto/85/notrim/28c84012b80cbc0b1a2f436b2872cdd1.webp"
"The Outsiders","129.09","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2FrNDdfdF9idXNfbGlnaHQuNDEzNzVhODdmYTc1YmVjZTBjYWZjODJkMjg3YjlmNGU2N2RlODgwYy5wbmc-/auto/auto/85/notrim/da9df53855bf3531288a5ac2712f25ba.webp"
"Point Disarray","90.87","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2N1X2FrNDdfcG9pbnRfZGlzYXJyYXlfbGlnaHQuZWY3MWJhODVlYjZhMGU3N2VkZmMyY2EzNTJlMWY4MWJmYjAzNzhjYi5wbmc-/auto/auto/85/notrim/9c01cfc50e865304e73cdcd5a9d79c61.webp"
"Elite Build","8.74","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2N1X2FrNDdfbWFzdGVyeV9saWdodC44ZDlhOTY5NzhhZDhmYTU2MDc0MzMwMzNkYTc0YmYyODA2YjU5MjYyLnBuZw--/auto/auto/85/notrim/f3c2cc9813d0373590a3b34e9f0fad0e.webp"
"Rat Rod","78.50","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2dzX2FrNDdfbmliYmxlcl9saWdodC43OGJjZTExN2YzOThiYzkxYTQ4MmIwNzA2NDY2NWU3NWRiY2JmNDAxLnBuZw--/auto/auto/85/notrim/06ef55716fbaf3e6c61d3180e3f7974b.webp"
"Vulcan","794.27","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2N1X2FrNDdfcnViYmVyX2xpZ2h0LjMzNWZlMmZmNWQ4YTYzZmJlZTM5ZjUxYWI5YTg3ZDNkOGY0MWI1OTIucG5n/auto/auto/85/notrim/4f5afa7f620474f8c38368d86a94bc24.webp"
"Safety Net","10.80","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2h5X21lc2hfc2FmZXR5b3JhbmdlX2xpZ2h0LjI0NTk1ZmM0NTUxOTZmNmJhMjAyNDNhMTA5MWU2YjVkMmMzZGY5NWIucG5n/auto/auto/85/notrim/b8daa2a30e57b85690914a667d7f740d.webp"
"Wintergreen","10.83","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X3NvZV9tZXRhbGxpY19ncmVlbl8yX2xpZ2h0LjhmNzc1YjBhNWQxOWVlMjg4NjliZTA0MGY2Y2U0MmFjNzY5ZGQyYjQucG5n/auto/auto/85/notrim/b92442c604f8b29db2019dfdea418c2a.webp"
"Cartel","91.39","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2FxX2FrNDdfY2FydGVsX2xpZ2h0LjZmY2FjYjY4MjVjYjk4NGI1NWVhNTI4YzE0YWVmNzA3MmEyMDYzNGQucG5n/auto/auto/85/notrim/f12e9a21bfc245a33998c9389a1127e9.webp"
"Fuel Injector","739.94","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2dzX2FrNDdfc3VwZXJjaGFyZ2VkX2xpZ2h0LjkwMjczOGFmMjMxNWQ5NDRlZWQ2YTE0MTVjZWRkMmRlZTk1YzJmNGUucG5n/auto/auto/85/notrim/5077c87d9247b946ea1086960b598fdc.webp"
"Blue Laminate","24.36","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2h5X2FrNDdsYW1fYmx1ZV9saWdodC4yMWQxOThmZjUyMzJiYmMyNWNhYTBlNjllZGFkMzhhNTI3MzMwNjg4LnBuZw--/auto/auto/85/notrim/d4e508f9635fad27c0ac0b1d6c206c67.webp"
"Steel Delta","11.46","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2dzX2FrNDdfc3Ryb25lX2xpZ2h0LjRlZDBlMjQ5OWNlNzYxOTkwOTMzYmZiZTY2ZTg2YWJiMGFiZjhmM2UucG5n/auto/auto/85/notrim/631d5fa6fb0cfea1dcc2f847076e7590.webp"
"Case Hardened","984.25","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2FxX29pbGVkX2xpZ2h0LmNkMjQxYjIzZjRmYWMyNGQ0NTQyODExZDU1YjIzMTJiMDEzYWY5MTkucG5n/auto/auto/85/notrim/6cd121358f75fbc0574f6b80ffd79d28.webp"
"Uncharted","1.84","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2N1X2FrNDdfYXp0ZWNfbGlnaHQuMGY3MDNlYTllNGFkN2IwMmEwNTU5OGRjMGVjMGQyNjRjZDIzNGY2Ny5wbmc-/auto/auto/85/notrim/1a7c6be8159149e85c4ac678638c042b.webp"
"Crossfade","8.07","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2N1X2dyYXBoaWNfb3ZlcmxheV9hazQ3X2xpZ2h0LjQ2NGZkYjBmMWM0ODU1MGYxMzQ1MDBkMWQ5MDg1NzEyMDYxMDQxYmIucG5n/auto/auto/85/notrim/f0b0c26871bc18b2f1faeb33966a69f3.webp"
"Orbit Mk01","100.00","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2dzX2FrX2NvbG9ueTAxX3JlZF9saWdodC5kYmIxZWE3YjZiOTViNTA0NDY4OTMwYzBlMzJiZTllOTk0NTg1ODFhLnBuZw--/auto/auto/85/notrim/6e252d2bb5b8bb2c211bc02532e17af7.webp"
