"name","max_price","image _url"
"Bad Trip","85.16","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9mYW1hc19mYW1hc19iYWR0cmlwX2xpZ2h0LmRlNWRiYzA3OTkyZWU4NWMwMDViNmZkOWUzMmNlNWYyM2E3OTYyNTAucG5n/auto/auto/85/notrim/53c1b0975025d7fbaa772474d329a345.webp"
"Roll Cage","167.62","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9mYW1hc19nc19mYW1hc19yYWxseV9saWdodC4yMTk1MDhmMGQxZmQyMWEzNDE1NzExOWJlM2VkZTJiNWYyMjczNzU1LnBuZw--/auto/auto/85/notrim/1b33b2520cefb3b71d257ffc204777b2.webp"
"Mecha Industries","68.64","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9mYW1hc19nc19mYW1hc19tZWNoYV9saWdodC41N2FlMWI4M2UzM2JjYmUyM2YzNWU1NDJjZGYxZWZiNDA0ODAyOGUwLnBuZw--/auto/auto/85/notrim/a70d27241a1e7051cbbc8da32d438555.webp"
"Rapid Eye Movement","22.84","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9mYW1hc19nc19mYW1hc19yYXBpZF9leWVzX2xpZ2h0LmM1YTU4YzgwNGY4NGQ0MmU3ZjFlZTI1NzAyZjhkZTc5NjkxNGRlYjQucG5n/auto/auto/85/notrim/9dacf64cbec5816858a7b5a28fb32e2e.webp"
"Commemoration","52.63","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9mYW1hc19nc19mYW1hc19sZWdhY3lfZ29sZF9saWdodC41ZjA0Mzc2ZDgwMDNlYWJjZWVmZWM2OWRjMDhiZmRlOTdkNmVmZGNkLnBuZw--/auto/auto/85/notrim/b28c10ce82c601f282a76cfaf173bac5.webp"
"Waters of Nephthys","286.00","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9mYW1hc19jdV9mYW1hc19ob2xvX29jZWFuX2xpZ2h0LmQxMDQ4MTc1N2E0YWFjMTI2NjRhYzM5ZWE1Mjk1ZmQxYzVkMWZiMWYucG5n/auto/auto/85/notrim/fdf3a6bb0ef53fc8e1b597c3d62480f0.webp"
"Djinn","44.46","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9mYW1hc19hcV9mYW1hc19qaW5uX2xpZ2h0LmNiYjQxMTU4MWZhMGNlOGQyODViYzM1YzE2YWQzZWRjZTRkMjhhODQucG5n/auto/auto/85/notrim/94a4e87e0d1afd54bcdec396ad84f62b.webp"
"Eye of Athena","35.26","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9mYW1hc19jdV9mYW1hc19vd2xfb3JhbmdlX2xpZ2h0LmZlZTU1Y2JkY2I0NzY5YTBhZmJiN2M2ZTZkM2QxMzNmYTdiMDU2MTQucG5n/auto/auto/85/notrim/700cbae97d07708e300b0c8064b73ec2.webp"
"Styx","101.29","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9mYW1hc19hbV9udWNsZWFyX3NrdWxsczJfZmFtYXNfbGlnaHQuZDBhMDQ1YTM0MGQ2Mjg0MjQ1NzA2NzQ0MjZlNWQyNmE3NTVmYzI1Yy5wbmc-/auto/auto/85/notrim/02ba9a58a09447aa1709f22510d1723c.webp"
"ZX Spectron","19.47","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9mYW1hc19jdV9mYW1hc19zcGVjdHJvbl9saWdodC4yZGZmM2ZmYWZlZjE5MzY4MWVlNTBhZTE3MTcwMWYwYzQyOTMwYzYyLnBuZw--/auto/auto/85/notrim/22a2077467687e2e6910be9f2b20e550.webp"
"Yeti Camo","4.04","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9mYW1hc19zb2VfYmx1ZV9mYW1hc19saWdodC5hNDQ4MDY1M2NlZjllMDM2MmNiZjQwMWMxMDYwZTMwNWJlN2UxZmNmLnBuZw--/auto/auto/85/notrim/a599f875bddbac3b28c1c18028f7afe0.webp"
"Valence","15.76","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9mYW1hc19hcV9mYW1hc19jb250b3VyX2xpZ2h0LmJmZTg0Mzc3ZDUzNzc2ZTZlZDVkOWYyNTFiZWQxZGJlYWQyMWMyY2EucG5n/auto/auto/85/notrim/c43d1212c614e4b3ed100e6f504720f8.webp"
"2A2F","4.38","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9mYW1hc19nc190cmFpbl9jYXJfZmFtYXNfbGlnaHQuNmZiMWI1MjYwNTY5NzM3Nzg1MDVhNTdjMTVmZjYwMWUyMDBjNDEyOC5wbmc-/auto/auto/85/notrim/aa5954f6091d82ae196d1e4df9eb7d33.webp"
"Pulse","10.89","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9mYW1hc19jdV9mYW1hc19wdWxzZV9saWdodC4zODIwYmNiNzJhYmQ3YTU5YzYzOGE0MjczNTY1ZDMzZDQ0ZTdlYjYzLnBuZw--/auto/auto/85/notrim/6a6f4061e09c33b92f8ab9bb995cc515.webp"
