"name","image _url","max_price"
"Angry Mob","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fY3VfZml2ZV9zZXZlbl9hbmdyeV9saWdodC41OWU3YTM2NzUxNjM2N2I4ZGYyOTgyNWI1NzE2OWZkZjU0OTA5ODBiLnBuZw--/auto/auto/85/notrim/56c95654ed5d4c11757dff0cfdc879d0.webp","72.05"
"Heat Treated","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fYXFfY2FzZV9oYXJkZW5lZF9maXZlc2V2ZW5fbGlnaHQuMGE3YTQ2MjBmYjQwODUzOWJlNWFiM2E0NjM0Yjc2Yzg3ODk2ZWZmNi5wbmc-/auto/auto/85/notrim/e8747755b94193cf276a2eba494ab239.webp","26.80"
"Hyper Beast","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fY3VfZml2ZXNldmVuX2h5cGVyYmVhc3RfbGlnaHQuYTY5MDFkNGExMjRkNjI5YjkwOTY2YTAxYjM4NGI2OGFmNTk5ZjU3Ni5wbmc-/auto/auto/85/notrim/817708aca3c8f96cb6f6cf843b7a7170.webp","678.75"
"Monkey Business","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fY3VfZml2ZXNldmVuX2JhbmFuYV9saWdodC41ZWU0YzljNzBlNmU0ZjYzMTI2NGFmMDU1M2EyZTMyMzZiMWI0YTc5LnBuZw--/auto/auto/85/notrim/782a9ca6b546e37b477a74d59e294503.webp","44.71"
"Fowl Play","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fYXFfNTdfZmVhdGhlcnNfbGlnaHQuNGYzNDZkNTIwMzk4ZDIxNDE0NGMyODA3MGE5MDQzNTVjNzU2OWEwOS5wbmc-/auto/auto/85/notrim/1b5e63bba5227ed3d139b48a16823048.webp","43.27"
"Hybrid","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fZml2ZXNldmVuX2h5YnJpZF9saWdodC5mZDYzOTdmNWNmNzIxMjM1OWI1OTkxYzhhMmFiMGNhY2MwZWVjOGZkLnBuZw--/auto/auto/85/notrim/60d09608921053b39d7f029ba1ca4aa9.webp","4.59"
"Neon Kimono","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5faHlfa2ltb25vX2RpYW1vbmRzX2xpZ2h0LmM3NzQ5MmNjZDY2OGNhOWIyMGJiOWUyMjQwZGM5ODEzYWFmMTRkYmEucG5n/auto/auto/85/notrim/7c9801e772bad0dd73de140f19aa48db.webp","1,268.62"
"Boost Protocol","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fZ3NfZml2ZV9zZXZlbl9lZnVzaW9uX2xpZ2h0LjM5MmYyYTUyOTZiOWQ4NjBiODRiZjliZjdkMDNjZjZjYjQzZDA1NGYucG5n/auto/auto/85/notrim/0e5119f804d49f22b564307652fd7e12.webp","9.57"
"Fairy Tale","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fY3VfZml2ZV9zZXZlbl9kaWFyeV9saWdodC5mOTgzNGM1MGI3ZTkwZjA5Y2M4YmFiMTMwZjNiMzVjOTUwMTNiMWU3LnBuZw--/auto/auto/85/notrim/8411d44d3e82ad72cab96a3027163a92.webp","125.25"
"Case Hardened","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fYXFfb2lsZWRfbGlnaHQuMzA3ZmYzZWYyYWJlOWIzNzI0MDBiZDI2NmIzYzU4MjUxMDM3MGMzYS5wbmc-/auto/auto/85/notrim/58c7f8903f050e8ca3af91511d22d666.webp","25.04"
