"name","max_price","image _url"
"AXIA","227.16","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9nbG9ja19nc2NoX2F4aWFfZ2xvY2tfbGlnaHQuNTZmMDFhMWQ3MzBkMmVlZDI2ZDllZTE4ODA0YWFhYWU4ODM0ODNmZS5wbmc-/auto/auto/85/notrim/763b35782e2737d4a7db4bb5590768b0.webp"
"Shinobu","57.34","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9nbG9ja19nbG9ja19zaGlub2J1X2xpZ2h0LjVkZGM4ODA1YTZjZDllZWNhMzgzZDkxMTFkYTE5MmNjMmM3OWQxZjkucG5n/auto/auto/85/notrim/ed997d5dccf8398bb9651e57be405a24.webp"
"Bullet Queen","166.91","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9nbG9ja19jdV9nbG9jazE4X3dhcm1haWRlbl9saWdodC43MjgxY2M3NTAzZjZhZTYyNjRlNTE2ZTdjZTBlNTlkYmJhMTY4ZTk2LnBuZw--/auto/auto/85/notrim/cf3c5cadf520d5f76797b252f0b68dc2.webp"
"Wasteland Rebel","164.42","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9nbG9ja19jdV9nbG9ja193YXN0ZWxhbmRfcmViZWxfbGlnaHQuNDBlMWU2NmFmZDI4NzhlNjRhZGFiZTI2Zjc2ODc4NWJhZjAzODdiMi5wbmc-/auto/auto/85/notrim/de958e4198db8427fa96d17b5c530420.webp"
"Water Elemental","57.60","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9nbG9ja19jdV9nbG9jay1saXF1ZXNjZW50X2xpZ2h0LmYzODlhMTM4ZTIxNmQ4NTVkMmYwZjhlNWNmODA3OTZkNzc5YjJjMTcucG5n/auto/auto/85/notrim/90ac472c6a8fba9dc83875199f815d2f.webp"
"Vogue","21.38","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9nbG9ja19jdV9nbG9ja19leWVjb250YWN0X2xpZ2h0LjE2MWZkM2VhYWVlMTU0NGM5YTE3YWRkZThkYjE2NTRkOTM5OTY1NTQucG5n/auto/auto/85/notrim/fb01debd7ed80c5a7f9bfea8658f51ee.webp"
"Ramese's Reach","142.66","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9nbG9ja19jdV9nbG9ja19yYW16ZXNfbGlnaHQuYzNlZjJkODE2ZGZkMWU3OTJhODkyODEyZjdkODY4MDUwODYyNzgzMi5wbmc-/auto/auto/85/notrim/48ba21b1f135b6fe531f530fe9e0770c.webp"
"Gamma Doppler","283.27","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9nbG9ja19hbV9nYW1tYV9kb3BwbGVyX3BoYXNlMV9nbG9ja19saWdodC4wYzFiNjMxZDkwMjUzNmE1OTg1NGQ1YzFmMmE0OWE5MDU4ZGUxMWFlLnBuZw--/auto/auto/85/notrim/3cc3b43f736bcc600d131306a1d92540.webp"
"Neo-Noir","283.54","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9nbG9ja19jdV9nbG9ja19ub2lyX2xpZ2h0LjQzMjMzNjU3YzM0NGIxYmJmZWQwZWVhMDJiMTg3OGQ2NzlkMGJmNGMucG5n/auto/auto/85/notrim/add39a771892ec914c0351b79cc04d51.webp"
"Gold Toof","196.87","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9nbG9ja19nbG9ja19jaG9tcGVyX2xpZ2h0LjM5YTViZGI0Njc2ZGJmODZlMGRjMmYxN2NkMjk0NzQ5NTYwNjE5ODMucG5n/auto/auto/85/notrim/38323f79aa105800ffbe5cdb5a898bc6.webp"
