"name","max_price","image _url"
"Buzz Kill","239.09","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tNGExX2dzX200YTRfc2VjdG9yX2xpZ2h0LjE3M2ZhZTEzNzcwM2MyZTU0ZDI0OWQxNzI2Nzg4ZDA2MTEyMmQ4OWUucG5n/auto/auto/85/notrim/daa1ac27abd36939e6409494f5f4b520.webp"
"Temukau","196.42","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tNGExX2N1X200YTRfdGVtdWthdV9saWdodC40MWIxZDU1NmY1MTBjZWY0ZmM3MDAwN2Y4ZjNmMzViNzI5MjQzMjc5LnBuZw--/auto/auto/85/notrim/a2ed4d47e8b2c878aa7c61ce39a383b5.webp"
"Neo-Noir","137.97","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tNGExX2N1X200YTRfbmVvX25vaXJfbGlnaHQuMmY3MGU0YzBjNDc4MjNhMzY4N2E5NDBhNjE5NGQ5ZTcyYWE0M2NmYS5wbmc-/auto/auto/85/notrim/6c8ffe6fdf469db849b29a8dd4de84b1.webp"
"Desolate Space","110.62","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tNGExX2N1X200YTRfZGVzb2xhdGVfc3BhY2VfbGlnaHQuYTJlNGQ1NjVkNDM5ZGM4YTdjN2FhZTdkZGM1ZTVkNzMxMWJjY2ZmZC5wbmc-/auto/auto/85/notrim/6b6407fe51d55177424a742fb509099c.webp"
"In Living Color","126.68","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tNGExX2N1X200YTRfbG92ZV9saWdodC44MmNjZDFlMGFiZjdkNTVmNDVkZDdjMzlhMTlhYzQ5MDRhZmI0OGIyLnBuZw--/auto/auto/85/notrim/5af55b1b6cca111f54454bba314bd7c5.webp"
"The Emperor","374.04","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tNGExX2dzX200YTRfZW1wZXJvcl9saWdodC44OWE1NjU0YTc2NTExMGFlNTY5N2U3YjBkMTdmZjBkYWYzMTdkZWZlLnBuZw--/auto/auto/85/notrim/6e51084ac660f74319b2e88e12f913ce.webp"
"Tooth Fairy","22.79","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tNGExX2N1X200YTRfcXVlZW5mYWlyeV9saWdodC44OTg3ZGVjYTI4NDY4MWU3NDA2OTQwZTkzMmQ3ZWRmZmRkYTBhODM4LnBuZw--/auto/auto/85/notrim/bc240bbf9fba441853c1ac212be5f68d.webp"
"Full Throttle","529.77","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tNGExX200YTRfc2tycnJ0X2dyZWVuX2xpZ2h0LmY3ODFmYjE0Zjg3OWRlMWM2ZGZjNjBlYTI2NjdjZDIzNjFlZGQ4YTIucG5n/auto/auto/85/notrim/617384da46e493ba7ec496ff49c5b569.webp"
"Hellish","520.69","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tNGExX2N1X200YTRfdHJhaW5faGVsbF9saWdodC5iYTdlZjU2NjJiZDE5NTk3NjY1NmFiMjgzODhlOGEzZTY2Yzg5MDIyLnBuZw--/auto/auto/85/notrim/01666860b0f8e07a09071f023f08e062.webp"
"Spider Lily","84.49","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tNGExX2dzX200X2Zsb3dlcnNfbGlnaHQuNDhmOGJkZjM1OTJkNTRkNzg5MWY3NmFkMzA2YmI3YzRhNjQ5YjcyOC5wbmc-/auto/auto/85/notrim/4d1f8e38cf102afde580bf678aafe712.webp"
