"name","max_price","image _url"
"Nightmare","239.00","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tNGExX3NpbGVuY2VyX2N1X200YTFzX25pZ2h0bWFyZV9saWdodC41MDEzNDE1Y2Y2YTUyZGExNTc4ZGNmNDIyZDgzNTg0ZmZkZTcxNzI5LnBuZw--/auto/auto/85/notrim/3dfd54b213546dd527e28f0e55a984b1.webp"
"Black Lotus","22.06","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tNGExX3NpbGVuY2VyX200YTFzX2JsYWNrX2xvdHVzX2xpZ2h0LmU1ZmM3YzUwZWU4MTBlYmUxNDU0YmUzY2YxOWNjYzU4NjEzMjU3ODkucG5n/auto/auto/85/notrim/d65b371dd3eb10c546f6fd1cb7d53bec.webp"
"Hyper Beast","675.22","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tNGExX3NpbGVuY2VyX2N1X200YTFfaHlwZXJfYmVhc3RfbGlnaHQuZmUxZWVjZGVkNmJlNDM2YmRkZDk5YWUxMjRiMTQ4MTQ0OTM1ODg5Yy5wbmc-/auto/auto/85/notrim/7b221a13e4bf5f6fe7fe0b658bbece52.webp"
"Cyrex","228.64","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tNGExX3NpbGVuY2VyX2N1X200YTFzX2N5cmV4X2xpZ2h0LjI2MmQ2YzdmYTFiYTQ2ZDM2YmQzOWUzOWIwNDRjOGJiNDFlYjNjMmMucG5n/auto/auto/85/notrim/db1bd9dc1821e528ba501bd2ce59e981.webp"
"Solitude","35.71","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tNGExX3NpbGVuY2VyX3NvY2hfbW91bnRhaW5zX200YTFzX2xpZ2h0LjkwOGMyMTExMTVlYTk4YTQ4ZDQwOTFjNzI3YzFmNjQ3NTU4ZDQ5OGQucG5n/auto/auto/85/notrim/4b13f8e1392e05a2de5c127f46433b41.webp"
"Fade","517.98","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tNGExX3NpbGVuY2VyX2FhX2ZhZGVfbTRhMXNfbGlnaHQuY2I5ZGM5NDI2OTQ5ODUyNzJlMjZlNTM1MDUzZTI4MmI5N2E1MTQzOC5wbmc-/auto/auto/85/notrim/c0a937f470688510a54ca96d92e26b9e.webp"
"Decimator","88.17","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tNGExX3NpbGVuY2VyX2dzX200YTFfZGVjaW1hdG9yX2xpZ2h0LjU2OTFjN2NiODBjMjE4MmZhZGQwMzNlZGM0YTlmY2Y0ZDYyNGM3ZGMucG5n/auto/auto/85/notrim/9797d2690cf101590fa9cc382663964e.webp"
"Chantico's Fire","440.64","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tNGExX3NpbGVuY2VyX2N1X200YTFzX3NvdWx0YWtlcl9saWdodC43NTlhMDFhYjBlMDIyYWZjMWVlNjg5ZGM0ZmY0MWIwM2RlYjVkMTVlLnBuZw--/auto/auto/85/notrim/4a0ebf1ab48e48e6398a2d677b7c29a0.webp"
"Liquidation","24.45","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tNGExX3NpbGVuY2VyX200YTFzX3F1aWNrX2xpcXVpZGF0aW9uX2xpZ2h0LjI1Y2ZjZWJiMmNhZDMxNTA4OGFhNDc4ZjNlNzljN2E4ZWViZTE3MTQucG5n/auto/auto/85/notrim/7710387e538eab5419f858c79000fab4.webp"
"Vaporwave","385.64","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tNGExX3NpbGVuY2VyX200YTFzX3ZhcG9yd2F2ZV9saWdodC4wMjg3NTYyZGE3MTNlZTJkNTMxZTVkNjRjZGE5ZDEzMzc4ZmYxYjQ4LnBuZw--/auto/auto/85/notrim/453c63acef1260b9b9c0d8a15535161a.webp"
"Mecha Industries","359.61","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tNGExX3NpbGVuY2VyX2dzX200YTFfbWVjaGFfaW5kdXN0cmllc19saWdodC45MDY1ZDVjMWY2Y2JiNzNhMmU1MmVmNWVmYWM0MmNlMjk4MDdkZWI1LnBuZw--/auto/auto/85/notrim/7b73a19bddac6249f63ebbb0902d21c3.webp"
"Player Two","218.00","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tNGExX3NpbGVuY2VyX2N1X200YTFzX2NzZ28yMDQ4X2xpZ2h0LmU4NzNkNTU4NjFmOTRlNmM2ZmMyMDliZGNmNjIyMmMyYjBmZjIyN2QucG5n/auto/auto/85/notrim/e09bf991e1eadc793fba248c02c3bace.webp"
