"name","max_price","image _url"
"Doppler","1116.66","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9tOV9iYXlvbmV0X2FtX2RvcHBsZXJfcGhhc2UxX2xpZ2h0LjEzYTZiYTdkNjcxYjgwZjIyOWY2NDAzMzUzNjU0MDA2MzcwNWY2YjYucG5n/auto/auto/85/notrim/0b6a5c1ba6f9b89107799f1c3be3a2cc.webp"
"Autotronic","1786.25","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9tOV9iYXlvbmV0X2dzX205X2JheV9hdXRvdHJvbmljX2xpZ2h0LjdhYzI0OWJlYmJiNDIyZWI1MTE0YzhiZDkxYWU5YzE3MWE0NDZkYzYucG5n/auto/auto/85/notrim/e2091e66edff1bb44e6b6f9ace6937ef.webp"
"Lore","1485.00","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9tOV9iYXlvbmV0X2N1X205X2JheV9sb3JlX2xpZ2h0LjU3OTg3ZGM0ODMxZjFkM2YyZjAyNmVhNzViMDA2MTJmN2YwOWM4NGMucG5n/auto/auto/85/notrim/f244094c4126f8afb5478cc1ea8edd05.webp"
"Bright Water","462.99","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9tOV9iYXlvbmV0X2h5X29jZWFuX2tuaWZlXzkwX2xpZ2h0LjhjZTJkYTQ5Y2I4Y2I0ZDA4ZjMxYjliMTVhZGNiZTQ4OTBmNzk2ZWMucG5n/auto/auto/85/notrim/c961d6fd142ada9595645b2547dae208.webp"
"Blue Steel","999.00","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9tOV9iYXlvbmV0X2FxX2JsdWVkX2xpZ2h0LjJmOWYyZjkwNTNjZTJiY2E0MzU4MzNkNDQ4ODY2NmU5NzUzMmQ2NmYucG5n/auto/auto/85/notrim/aa13bf967550af73c66deb0d78b8875e.webp"
"Damascus Steel","549.22","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9tOV9iYXlvbmV0X2FxX2RhbWFzY3VzXzkwX2xpZ2h0Ljk1OGNkZTBlZGVhNWEyYmRjM2M2ZTA5MDI3OGY2YTllZjgxMjViOTkucG5n/auto/auto/85/notrim/22f0ea0bf1b0d5509d584b828f03c4d7.webp"
"Crimson Web","4924.20","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9tOV9iYXlvbmV0X2h5X3dlYnNfbGlnaHQuYWM1ZDNmODMxZjI0MTYxZGY5NWViNGNlNjdjNTIxZmMzNDAwYmNlNi5wbmc-/auto/auto/85/notrim/9575a51c399e3bee78f41c18d552af2e.webp"
"Stained","642.30","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9tOV9iYXlvbmV0X2FxX2ZvcmNlZF9saWdodC5mZTQxMzhhNTEzMDM1NDliYzdiNWI0MGZlYWZlODMzMDk1ZDFkMGNiLnBuZw--/auto/auto/85/notrim/9365fdaef89b97372e1646e93c4e6247.webp"
"Case Hardened","1474.31","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9tOV9iYXlvbmV0X2FxX29pbGVkX2xpZ2h0LjMzMWIyNjllOTAzMzc5ZTMwY2RmMjJmZGMzYmEyNjIyNzg3YjFjYWYucG5n/auto/auto/85/notrim/e4dc95a96e80d6080281d16089245da9.webp"
"Vanilla","902.25","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL3dlYXBvbnMvYmFzZV93ZWFwb25zL3dlYXBvbl9rbmlmZV9tOV9iYXlvbmV0Ljg4M2NhNTlhN2NjZmE2MTYzOTYzYjYwYzY5Y2RkMzk0YzJiODdhNWUucG5n/auto/auto/85/notrim/312b5ccca278ebd5bff9d8c44ff2173d.webp"
