"name","max_price","image _url"
"Starlight Protector","100.02","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tcDlfZ3NfbXA5X3N0YXJsaWdodF9saWdodC44MzUyZjdmNDM0NDVlMTAwZTJiMDNlZDc3NGFhYWQ2MzcyNjc1YmUxLnBuZw--/auto/auto/85/notrim/4aa0302e930ef528a07185da60c1515b.webp"
"Arctic Tri-Tone","18.84","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tcDlfZ3NfYXJjdGljX21wOV9saWdodC5jNzA4NGY3M2M3YjEyYTc0OWYzYzZkNzU3MjM2NGY5NDE3M2VhYzJjLnBuZw--/auto/auto/85/notrim/2861b7a326e04c46712d4df9a7a25b35.webp"
"Food Chain","27.58","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tcDlfY3VfbXA5X2Zvb2RfY2hhaW5fbGlnaHQuZTczZGViNDc0ZmYxOTE2ZWU3OTQ2YWQxZGZiNzA2MjA2YTc2MTBkMS5wbmc-/auto/auto/85/notrim/f544afc23522446254cba9be2bc00ecc.webp"
"Hydra","155.00","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tcDlfY3VfbXA5X2h5ZHJhX2xpZ2h0LjFmYWYyY2I4ODMwNWRjZTE0YTc1MzI5NTkyYTEzZmJhZGVjMmI0MjAucG5n/auto/auto/85/notrim/30e7f5445048cdcf3c9627f8621f7836.webp"
"Latte Rush","207.21","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tcDlfY3VfbXA5X2xhdHRlX2xpZ2h0LjkyMmRkZTAwYzJkMDA4NzVmNjViZGI2OWI0NThmMDdhMDJkYmNjOGIucG5n/auto/auto/85/notrim/1acfa5017dc927d649c664263f503fc9.webp"
"Mount Fuji","18.99","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tcDlfYWFfbXA5X2Z1amlfcGlua19saWdodC40NTlmZDVjMWYwMDU1MjliMGZkNjVjMWFmYjM2MjA1ZDc0OGMzNWE2LnBuZw--/auto/auto/85/notrim/fbf01eee1d64db02b8da8d8d4ef3e6de.webp"
"Setting Sun","158.74","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tcDlfaHlfbnVjbGVhcl9wYXR0ZXJuMl9tcDlfbGlnaHQuMjk3ZDA4MTM2MjEwMWEyMjlhYTNjM2FiOGQ5MjYwYmY1NDA2MzcxZS5wbmc-/auto/auto/85/notrim/fb8543290b28c6d61a13b988ac8b14f3.webp"
"Airlock","41.66","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tcDlfY3VfbXA5X25hcmNpc19saWdodC43OTUyYWI4MGZjOTk3MjJhOWNkMTNmY2NkNjM4YzVmYzhlZTI5OWNjLnBuZw--/auto/auto/85/notrim/a5b53b126c455004966fd2f6f96dc0af.webp"
"Hypnotic","21.09","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tcDlfYWFfdmVydGlnb19saWdodC4wYTgwOTI1NzJhMjg0ODM2YjIyODBjZWQ4MDY5MWVhZmM5NGVmZmM4LnBuZw--/auto/auto/85/notrim/c1811098da401241649ef2a0ec4de227.webp"
"Dark Age","113.68","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tcDlfYW1fbWV0YWxfaW5sYXlfbGlnaHQuMjMzNmZhMWI3MGFiNDdmMjliZTNlZTllMTVkYTdlZDYxMWVmZWQ4YS5wbmc-/auto/auto/85/notrim/8755bd788b71006e99a9502d024e292c.webp"
