"name","image _url","max_price"
"Power Loader","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9jdV9uZWdldl9pbXBhY3RfbGlnaHQuMjBmZmY2ODMzZDQ0YzgwMDA2ZDVjYzBmYWY0NTYxOGE2OTI2MDNhZS5wbmc-/auto/auto/85/notrim/327d1455ae2ed31d2132436e86a685f8.webp","$7.43"
"Drop Me","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9jdV9uZWdldl9jbGVhcl9za3lfbGlnaHQuMjkwODY5Yzg0YmYwNTk4NTA4N2M2ODc3ZWUwODE2MDhhNmQxZDM1YS5wbmc-/auto/auto/85/notrim/2e9efc5e06df50ed266a74cc2144fa94.webp","$0.81"
"dev_texture","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9jdV9uZWdldl9kZXZ0ZXh0dXJlX2xpZ2h0LjVkNGZhOTNlZWQyNWY5N2E2NzM0MjVkNGRhZTI0ZTI5OWI5MjRhMzgucG5n/auto/auto/85/notrim/fad53021f38920080f66171ef2737205.webp","$2.20"
"Lionfish","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9zcF9uZWdldl9saW9uZmlzaF9saWdodC42MDk4MDAwNjk2ODgzNDZjMWFjYzU1NzkyNmJhMGI5ODMwMjAyZTAzLnBuZw--/auto/auto/85/notrim/5f30b6fcbbabcbe31d5ff5dbe100fac0.webp","$1.80"
"Ultralight","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9jdV9uZWdldl91bHRyYWxpZ2h0X2xpZ2h0LmI1NjcwMjIwODBkNmRkZjE5MmE2MTdkY2JlYzI3ZGU4MjQ5ZjBiMDAucG5n/auto/auto/85/notrim/db58c8929ebb19088429310f7afe0fa9.webp","$0.35"
"Loudmouth","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9jdV9uZWdldl9hbm5paGlsYXRvcl9saWdodC5jNjY2NzY2OTc2Nzc3NzIzZGVmZGQxZmI5ZDE5MTgzODYzNGRmNWEyLnBuZw--/auto/auto/85/notrim/d3a6283e3c818363e3b5569ec35df0c7.webp","$12.00"
"CaliCamo","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9oeV92YXJpY2Ftb19kZXNlcnRfbGlnaHQuYzI5ZjNhM2FlNTE4MTk5NGVkOWFmYmVmMTUxMGZiNjBjMjM3MGM5Yi5wbmc-/auto/auto/85/notrim/7a7cf46e0117c92d10c913d2fec598cb.webp","$34.44"
"Sour Grapes","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9zb2VfYmVycnlfbGlnaHQuM2Q3ZGE3Y2VmNWU2NmE5MjY2ZWVjOTBkNWFlZGE3YzFmZDJiNmY0Ny5wbmc-/auto/auto/85/notrim/c945132c8485815dea6a80cdc8e677c0.webp","$0.55"
"Wall Bang","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9jdV9vdmVycGFzc19ncmFmX25lZ2V2X2xpZ2h0LjQ2ZmUyMGJlNjdkNDMzYWU0ZWU1OTBkNmVjMzdmY2M3MjM3MzUyNjcucG5n/auto/auto/85/notrim/24567c205ed08a0ba52c3be413e90ef3.webp","$0.56"
"Bulkhead","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9oeV9kdWN0c195ZWxsb3dfbGlnaHQuMWRhZGQ2ODE2OWIwN2MyNmQ3NDU3NWI2YmU3MWE4YjBlY2JhOTczYS5wbmc-/auto/auto/85/notrim/076e7f15058a0900f8def5b26f598fce.webp","$0.09"
"Terrain","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9zcF9uZWdldl90dXJxX3RlcnJhaW5fbGlnaHQuNDE4YWIxNWZkOGMwZTc4NDQ4NWIwNGQzYTMzOTY3ODBkZTc0NjBlZS5wbmc-/auto/auto/85/notrim/e3b1bc55bbd0b8563b32169a166ae91d.webp","$0.77"
"Dazzle","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9oeV9uZWdldl9kYXp6bGVfbGlnaHQuNGVjYjFjYTlmYzBkMmViM2ZmZTAwZWIyMzlmMDZhNWM2NzFlZTYxOC5wbmc-/auto/auto/85/notrim/3256b1da71662e77866aeb0ff3cd4159.webp","$0.74"
"Nuclear Waste","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9zcF9udWNsZWFyX3BhdHRlcm4zX25lZ2V2X2xpZ2h0LmVmYzIxOTE2Zjk5MjIwMTI4MjYwOTQ0ODA2MDI3OTQwZjZlYzk5NTQucG5n/auto/auto/85/notrim/9d764e1f564a4f0476cdb04ebf3bb096.webp","$5.87"
"Phoenix Stencil","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9oeV9waG9lbml4X3RhZ3NfcmVkX2xpZ2h0LmRmZmRiM2Q1MWZmYmNjOWE3ZThjZDZlM2ZiN2U0Zjk1NTU3NzhiOWUucG5n/auto/auto/85/notrim/2954936b405f2b4f11410c99fe464080.webp","$27.24"
"Prototype","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9jdV9uZWdldl9wcm90b3R5cGVfbGlnaHQuNGY2NTE2ZTJlNjcxNGZiYzdhMWZhZDAwODE4ZDQ2MDkyNDhhNjk4OC5wbmc-/auto/auto/85/notrim/b915f3b3b853054cab6054ea7e509496.webp","$0.49"
"Man-o'-war","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9hbV9uZWdldl9nbG9yeV9saWdodC44ZDQ5NGY4ZjcyOTVlODc3MzZhOTg5YmU4MWI4NTM3ODY0YzRiZWVhLnBuZw--/auto/auto/85/notrim/8b0a92e9ec689e7915b6cbedc38ecfa1.webp","$0.20"
"Desert-Strike","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9jdV9uZWdldl90aXRhbnN0b3JtX2xpZ2h0LmZiYmViYTRmMDRjNzM5ZDIxMzMxZjNlY2I3YWFkNThjMjY4MTVlZjIucG5n/auto/auto/85/notrim/26d22c52f4c5dce91d0319e366ca7009.webp","$0.44"
"Bratatat","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9jdV9icmF0YXRhdF9uZWdldl9saWdodC40NjI2MGU5ZWMyYjljZWFlNjNmYjEyNzM1NTA5NzM0OTE1Mjc5MTgxLnBuZw--/auto/auto/85/notrim/4e4ea8067066d3b67cffb3ca8e253e49.webp","$6.10"
"Boroque Sand","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9oeV92ZW5ldG9fdGFuX2xpZ2h0LjMzZjZlNWY5MjAyNjBjNmI2YjhmYTMyOTA1ZjAxZWJkMDMzOTM4NTgucG5n/auto/auto/85/notrim/1492b4cb048f629f90dc7a5b39f00b44.webp","$7.83"
"Infrastructure","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9oeV92ZXJ0aWdvc3ByYXlfbGlnaHQuZWE3YTMxOTVkNDhiYTJhMjhlZjE1ZTgxZDU5NTg2OGM4MjM3ZjQ1OC5wbmc-/auto/auto/85/notrim/545bc99e9412a32ab3f6a7b9aae51493.webp","$21.05"
"Raw Ceramic","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9zb19jZXJhbWljX25lZ2V2X2xpZ2h0LmI0YTdiOTU5ZjRhOGI5YzkyNGZjNjVhNDQ5OTEyNzNhNzhmYjVkYWYucG5n/auto/auto/85/notrim/2d442f4bc522d046098fe0e8d367fe83.webp","$0.04"
"Palm","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9zcF9wYWxtX2JyYXZvX2xpZ2h0LjhjZDM3NTU4NDUzZTg0ZjMwNWVkYjA0M2RmNjdlNDU2MDI2MjlhMmQucG5n/auto/auto/85/notrim/385313393f7b841967a9947e820f81f5.webp","$41.17"
"Army Sheen","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9hbV9hcm15X3NoaW5lX2xpZ2h0LjQ5NzhmYmNmOGU5MDkzZjNhYjQ3MTVmZDA3YmFmMmQ5NDg4NDk4YWIucG5n/auto/auto/85/notrim/0a47c1aac4715e7f698c227a61c04950.webp","$0.02"
"Mjölnir","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9nc19uZWdldl90aG9yX2xpZ2h0LjdiNzA3ZGQ5YWRhZWMyNDU1MjZkMjgzMWJmMjFjNTFiOWM0ZjI1MDgucG5n/auto/auto/85/notrim/fc5aace4ed21a42d167edf5f413c9665.webp","$2,879.93"
"Anodized Navy","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9hbl9uYXZ5X2xpZ2h0LjJkZWE2YTM4YmM3OWYyOTZmM2VmOTJmY2JmNzg4MDgzN2RkY2U1MmIucG5n/auto/auto/85/notrim/6d37dfd180fd132d2f714d0c97412b1b.webp","$1,095.42"
