"name","image _url","max_price"
"See Ya Later","[""https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9wMjUwX2N1X3AyNTBfY3liZXJjcm9jX2xpZ2h0LmU1MTAxYjBlMTkwM2U5OTNmNWFmYjUxODRjODllODMxMmMwM2ZlNmIucG5n/auto/auto/85/notrim/cd570e3093b39ff7d5f3e4c0d92af7bc.webp""]","94.84"
"Visions","[""https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9wMjUwX2dzX3AyNTBfdmlzaW9uc19saWdodC44MjBlNmJmMzBiYjg2ZTFlMDdmOTJhNjNlODdiOTgzMTQzNGFjNjExLnBuZw--/auto/auto/85/notrim/f2d569dc2a364da0eca8104aa27d21b3.webp""]","14.53"
"Asiimov","[""https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9wMjUwX2N1X3AyNTBfYXNpaW1vdl9saWdodC4xZjc4MDEwNTQ0ZDFhZWU0MjFmY2NmMDAwNTY5ZTZkODIwZTIzNjExLnBuZw--/auto/auto/85/notrim/1c9bc1eda1e30b7296389ba5fc4c269e.webp""]","65.17"
"Apep's Curse","[""https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9wMjUwX2dzX3AyNTBfYXBlcF9saWdodC4xZTI4ZjczODBlODA5YzZiMzg0OTJhMDRkOGEyN2RmYmU4ODQzMzZiLnBuZw--/auto/auto/85/notrim/751e4ac64757dc4c9bf866afa4715d33.webp""]","242.37"
"Muertos","[""https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9wMjUwX2N1X3AyNTBfbWFuZGFsYV9saWdodC4zNzBlYjRlNzI5YjFkMjdkZWJjYzMyYzZjMWQ5MTBiNjU5MjhmYWYwLnBuZw--/auto/auto/85/notrim/0f074c7879b9ebafd10ed9e364e8425c.webp""]","34.88"
"Epicenter","[""https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9wMjUwX3AyNTBfaW1wYWN0X2xpZ2h0LjZmNjdmZmRiZGIyNTc5NWExNWRkY2YyOTE1YjUzMWUyNjQ2YmUzNDgucG5n/auto/auto/85/notrim/6e394c1bdc0aec4a4f963dccc99d12a0.webp""]","39.92"
"Franklin","[""https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9wMjUwX2N1X21vbmV5X2xpZ2h0LmMyNWI4MDU3ZjNmZmMzNzI5OWQ5YzNlMzRmMTNjNjI5MWZlZDQ4YTAucG5n/auto/auto/85/notrim/2b1806e71267a043c5e2f6e4bd3e1b8b.webp""]","4.37"
"Small Game","[""https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9wMjUwX3NvY2hfaHVudGVyX2JsYXplX3AyNTBfbGlnaHQuYzJlNWI0NWJlNmE4YTUyM2M3ZDdlMWUwZDA1NWIyNzRhMDg0Yjk5NS5wbmc-/auto/auto/85/notrim/d0aab2c1e5b3b788616ec3b852697cd8.webp""]","1.76"
"Nevermore","[""https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9wMjUwX2FhX3AyNTBfZ3JhdmVkaWdnZXJzX2xpZ2h0LjQ4ZGQ4MmNhNzUxOWMyM2U4NmU0ZmU3ZmQ0YTg0MDRhMzQyMTU5MjgucG5n/auto/auto/85/notrim/472cc9df1cf9b80e649951b76670ae0f.webp""]","4.56"
"Vino Primo","[""https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9wMjUwX2dzX3AyNTBfY2hlY2tlcl9saWdodC40ZjIwN2Y1MjUzMjYzODVmYjRiM2FiYjk0ZDRhNzllNmU2ZTcxNGQ3LnBuZw--/auto/auto/85/notrim/8e82da498fd8686f9af4bcee3dca5f89.webp""]","103.06"
