"name","max_price","image _url"
"Integrale","84.79","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zZzU1Nl9jdV9zZzU1M19yYWxseV9saWdodC5kNjI4MDIwNDkxMWNkODFiYjAzNDU3ODExNDBhYjk4NzMwMzliMDZiLnBuZw--/auto/auto/85/notrim/7383185fd198c9f1d29e47a2c3248177.webp"
"Dragon Tech","2.17","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zZzU1Nl9jdV9zZzU1M19jeWJlcl9kcmFnb25fbGlnaHQuNmE0MWU5ZTFmN2RiYWYyY2M0ZWEwY2EzMmY1ZmNjMTAwMGY4YzJhYi5wbmc-/auto/auto/85/notrim/38d0f0d1487b44e3ad7a4f9e83d25eb0.webp"
"Cyrex","27.72","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zZzU1Nl9jdV9zZzU1M19jeXJleF9saWdodC5kNTQ1Y2JiODYwYmIzZTQ5MzM3MTRmNjc4Mzc0MTU2MjNlM2ViNWY3LnBuZw--/auto/auto/85/notrim/ac5e0c70fdac7be338409287ce1810c6.webp"
"Colony IV","72.27","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zZzU1Nl9jdV9zZzU1M19yZWFjdG9yX2xpZ2h0LjJlOGI5ODJmZjJiMTMyM2E1OGExNDE4ODY0NmIzODFkMzQ2YzJjNmMucG5n/auto/auto/85/notrim/1d121ea6f1f0bfeb881cc580e72c4011.webp"
"Pulse","8.41","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zZzU1Nl9jdV9zZzU1M19wdWxzZV9saWdodC4zNTkwYTYzMDk4Yzk1MTJiNjYyZmMwNGNkZTcyN2IwMzk5OGMzZDU5LnBuZw--/auto/auto/85/notrim/88c81354e79f1890599a8986da02a76e.webp"
"Bulldozer","372.05","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zZzU1Nl9zb195ZWxsb3dfbGlnaHQuZWZmOWRhOThiMzkzMDY1ZTY0OTQ5Y2Y0Mzc1OWQ2YzY3NThmZGJlOC5wbmc-/auto/auto/85/notrim/6e9a792db953d88b6c09ff8618b8ce1d.webp"
"Ultraviolet","43.93","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zZzU1Nl9zb19wdXJwbGVfbGlnaHQuYzMzODYyYzkxOGQ4NGZmNTAwNDE1NWU2MmQ4ODQ2ZDMxZTMzMDhhMS5wbmc-/auto/auto/85/notrim/adba0de5eda0e04f857c137bd4cb88f8.webp"
"Darkwing","4.59","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zZzU1Nl9jdV9zZzU1M19kYXJrd2luZ19saWdodC42NzAxNGYxZDNmYTljZTBjOWY1NzdlZTA1MDhiODllMGI1YzdiMGNkLnBuZw--/auto/auto/85/notrim/05d1b343e81856edccf70d886669483d.webp"
"Cyberforce","0.75","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zZzU1Nl9jdV9zZzU1M19jeWJlcmZvcmNlX2xpZ2h0LjgwNTgxMTIzZDBhYmVlMDM1Njc2M2NiYmFlMWE0MDUyMTU0N2MzMzUucG5n/auto/auto/85/notrim/c68e94651cdbe61ccdca2f274008168d.webp"
"Phantom","2.68","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zZzU1Nl9nc19zZzU1M19waGFudG9tX2xpZ2h0LjA3ZDVmNWNhNTBhMGNhNzBmMmZiYjlkNWVkZTMwNWJlZGU4MDU2NWYucG5n/auto/auto/85/notrim/78c280ca8009e7ececdcd0e4d4b1e2dc.webp"
