"name","max_price","image _url"
"Dragonfire","525.00","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zc2cwOF9jdV9zc2cwOF9kcmFnb25maXJlX3Njb3BlX2xpZ2h0Ljk4YTMzN2UwNWUzOTVjYTk0ZGE4NDMyZWI1YTYyNzk5YjU0ZDVmOTAucG5n/auto/auto/85/notrim/0cb86d8f5487f2f6fbd2664ee52a3308.webp"
"Turbo Peek","94.98","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zc2cwOF9jdV9zc2dfb3ZlcnRha2VfbGlnaHQuMzZhYTE4OWRjOWU4MTc4YjRkNDM2NjE3OWMwZjlmZDA0YjM5ZDY2Yy5wbmc-/auto/auto/85/notrim/8860f62ba8ed2c02668bc03f200ad298.webp"
"Fever Dream","9.97","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zc2cwOF9jdV9zc2cwOF9mZXZlcl9kcmVhbV9saWdodC5kNmFkN2EzYzZlODdiNGY1MDQ1ZTUwNjZhYmMzZWUwMTc2NjM0MDZhLnBuZw--/auto/auto/85/notrim/ceb8eb68f34e57d75817806b485599b6.webp"
"Big Iron","64.83","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zc2cwOF9jdV9zc2cwOF90ZWNobmljYWxpdHlfbGlnaHQuNmM3MjcwYzZlNGNhYTI0MmE5MTMyMmExMjU5MDY0MjQyODYyYzc3Yy5wbmc-/auto/auto/85/notrim/5d64e0607a511f6bc045488044063fdb.webp"
"Zeno","1.99","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zc2cwOF9nc2NoX3plbm9fc3NnMDhfbGlnaHQuNzVjZTAxNmQyMjJmNjZiZjVhZTdlMzJkODNjZDJiNzEyMTc0NGQ2YS5wbmc-/auto/auto/85/notrim/c4e5963d6bdfa82d053c642ae6848f35.webp"
"Bloodshot","355.00","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zc2cwOF9jdV9zc2cwOF90aWNrbGVyX2xpZ2h0LjE3Mjc1ZjMyOGYzNTQ5ZDcxNTBiZjY0ZDkzMzY1ZGQ1MWEyN2RkYmIucG5n/auto/auto/85/notrim/4725f2f9d60ec06e0895f05e8e2efec2.webp"
"Blood in the Water","438.35","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zc2cwOF9jdV9zaGFya19saWdodC45YjhmMzY5Mjg5M2I4YWUwNmEyOWI0MTFiYjZhYTI3NTE3NGRiNzVmLnBuZw--/auto/auto/85/notrim/8d1bb993060dd873cdf9f29ca09500b6.webp"
"Rapid Transit","18.70","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zc2cwOF9zc2cwOF90cmFuc2l0X3doaXRlX2xpZ2h0LmZjOGNlMWMyMGFhODMxMjM5ZTZlYjExMThhNTk3YmMxM2M2NTVkNjcucG5n/auto/auto/85/notrim/303620c75f2392e6beccb374684ac7a2.webp"
"Death's Head","41.80","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zc2cwOF9jdV9zc2cwOF9kZWF0aHNoZWFkX2xpZ2h0LmUxMmMwNjZmNWZhZDQzMjU1ZGEyYjk0N2RhM2UzOGMxY2FhMzE3YmUucG5n/auto/auto/85/notrim/799ae9ece5d5f69016b35dcbd0c145c4.webp"
"Ghost Crusader","19.11","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zc2cwOF9nc19zc2cwOF9hcm1hY29yZV9saWdodC5jZDI3YTRhYjQwMTVlNWJiZTdhYTU0ODE1ZjA0YTNjMmMyMGM5NWFhLnBuZw--/auto/auto/85/notrim/fdd285ae763cdf35896e4fd967260005.webp"
