"name","image _url","max_price"
"Sticker Gold Web (Foil)","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL3N0aWNrZXJzL3NoYXR0ZXJlZF93ZWIvZ29sZF93ZWJfbm9ybWFsLjZiZmEwOWVjNzE3Nzk5NmNhNmZhM2MxNWIwNGFhNzZhZjkyMjJhMzcucG5n/auto/auto/85/notrim/195ba42863cbc7f500dd1819bc6cb044.webp","$28.43"
"Sticker Rainbow Route (Holo)","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL3N0aWNrZXJzL2NvbW11bml0eS9lbGVtZW50YWxfY3JhZnQvaG9sb19yYWluYm93X3RyYWlsLmRmNTdiMDU5NGViNTgyNmM1NDEzNTE5MjZhMWM5YjU0NGRhYjkxMWQucG5n/auto/auto/85/notrim/9ee69e9cdb4a06ed3573e03b8f729500.webp","$2.26"
"Sticker High Heat","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL3N0aWNrZXJzL2NvbW11bml0eS9lbGVtZW50YWxfY3JhZnQvcGFwZXJfZmxhbWVzX3R3by44ZmU2YTQ5NjgxMGRjNTQyZDlhM2FkMWEzYjY2MGU3ZmNmNDMyMjJjLnBuZw--/auto/auto/85/notrim/a1a876c0c0eb43bd645e0e16da2d4d64.webp","$1.43"
"Sticker Ruby Wave (Lenticular)","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL3N0aWNrZXJzL2NvbW11bml0eS9lbGVtZW50YWxfY3JhZnQvbGVudGljdWxhcl9ibG9vZF90d28uYWI2ZTZkZGVhNzI3NTZjOGMzOTBkYzk4M2UwOTk1ZTRkYmM5YjRmNS5wbmc-/auto/auto/85/notrim/475993677a40ec76eb19fd9288b8bfa4.webp","$12.43"
"Sticker Winding Scorch (Foil)","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL3N0aWNrZXJzL2NvbW11bml0eS9lbGVtZW50YWxfY3JhZnQvZm9pbF9maXJlX3RocmVlLjkyMWQ4YzNmODNiNmIwMmI1YjkyYjkzYzQ3ZGU1MzU2ODliOTFlYTcucG5n/auto/auto/85/notrim/c79eb73a02001ff842a07e146cde4b92.webp","$4.43"
"Sticker Bolt Charge (Foil)","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL3N0aWNrZXJzL2NvbW11bml0eS9lbGVtZW50YWxfY3JhZnQvZm9pbF9saWdodG5pbmdfdGhyZWUuYmE4ODQ1YWI0NzNhOTNlMWM1ZTE0MGY3OWQ0N2M3YmQyMDhiNGQ4My5wbmc-/auto/auto/85/notrim/78c1330832bd24bbaf43e3247d8e2e13.webp","$5.00"
"Rio 2022 BIG (Gold)","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL3N0aWNrZXJzL3JpbzIwMjIvYmlnX2dvbGQuM2E4ZGFhZTEwMWM5YTQ3MWY1ZTI1NTQ1NmJkYmEwZjZlNzQzMzQ1Ni5wbmc-/auto/auto/85/notrim/c835b15f9907cf4eb4b1050b346681bc.webp","$1,800.00"
"Budapest 2025 s1n","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL3N0aWNrZXJzL2J1ZDIwMjUvc2lnX3Mxbi42MGQzNTljYjJlY2U5OTkxOTBkYWNkYmNmOWEzMWJmMmUzNzZkYmZjLnBuZw--/auto/auto/85/notrim/0911e36dfa26f187c204b2d72a2011be.webp",""
"Sticker Ruby Stream (Lenticular)","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL3N0aWNrZXJzL2NvbW11bml0eS9lbGVtZW50YWxfY3JhZnQvbGVudGljdWxhcl9ibG9vZF9vbmUuN2YwMThlN2U0MDU0YjNhNjI3M2YzYWRmNDgwZDM1NjI4ZDcwMjVjZS5wbmc-/auto/auto/85/notrim/98421f7d1f51a9fcbfdd8733b20e0a71.webp","$8.56"
"Sticker Flex","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL3N0aWNrZXJzL2NvbW11bml0eS9zdGlja2VyX2NyYWZ0L3BhcGVyX2FybV9mbGV4LjRhNTViZmM4ZTQ1ZWRkZTE1YjU3ZjhkNjQwNjc1MGY3YmI3MmMyMWQucG5n/auto/auto/85/notrim/5415237963f8152e9cbe7390fa97a620.webp","$2.85"
